algoritmo,dataset,clasificador,tamano_poblacion,generaciones,tasa_mutacion,tasa_exito,num_pares_medios,dist_l2_media,features_cambiadas_media,tiempo_ejecucion_medio,generaciones_convergencia_media,historial_fitness,muestras,ancho_banda,max_iters,score_seleccion
gs,diabetes,svm,,,,0.8833333333333333,26.5,1.472218436177576,2.094017094017094,9.056659698486328,1.0,[1.4722 ... 1.4722],500.0,0.2,20.0,0.7925719913500783
gs,diabetes,arbol_decision,,,,0.5833333333333334,17.5,1.8168992495182368,2.175,0.943618893623352,1.0,[1.8169 ... 1.8169],500.0,0.2,20.0,0.785690894551877
gs,diabetes,arbol_decision,,,,0.5666666666666667,17.0,1.778876971951652,1.9892857142857143,0.8863067626953125,1.0,[1.7789 ... 1.7789],300.0,0.2,20.0,0.7823083386034988
gs,diabetes,arbol_decision,,,,0.55,16.5,1.7718370527165517,1.6033834586466167,0.8506600856781006,1.0,[1.7718 ... 1.7718],100.0,0.2,20.0,0.7809999914649095
ga,diabetes,arbol_decision,200.0,40.0,0.15,1.0,30.0,31.2841458475286,7.95,0.521452784538269,23.0,[201.6326 ... 11.9378],,,,0.7722365401471744
ga,diabetes,arbol_decision,200.0,120.0,0.15,1.0,30.0,28.007534433543164,7.966666666666667,1.5757982730865479,33.0,[201.6326 ... 5.8186],,,,0.7696926246237736
ga,diabetes,arbol_decision,200.0,80.0,0.15,1.0,30.0,33.908125150510315,7.983333333333333,1.0637060403823853,32.0,[201.6326 ... 6.7148],,,,0.7539563730098207
ga,diabetes,svm,200.0,40.0,0.15,1.0,30.0,35.24124315794303,7.983333333333333,1.3829318284988403,17.5,[195.1017 ... 12.9197],,,,0.7442583828478393
gs,iris,arbol_decision,,,,1.0,30.0,0.7647990759084731,1.3166666666666667,0.4222853183746338,1.0,[0.7648 ... 0.7648],500.0,0.5,20.0,0.7376449390763014
gs,iris,arbol_decision,,,,1.0,30.0,0.7647990759084731,1.3166666666666667,0.42440807819366455,1.0,[0.7648 ... 0.7648],500.0,0.5,60.0,0.7374690372191393
gs,iris,arbol_decision,,,,1.0,30.0,0.7524599100064387,1.3166666666666667,0.4918442964553833,1.0,[0.7525 ... 0.7525],300.0,0.2,60.0,0.7350181184487298
gs,iris,arbol_decision,,,,1.0,30.0,0.7738282289523806,1.4166666666666665,0.397860050201416,1.0,[0.7738 ... 0.7738],300.0,0.5,60.0,0.734873320422761
ga,diabetes,arbol_decision,100.0,40.0,0.15,1.0,30.0,41.65925362696239,7.983333333333333,0.30496668815612793,18.0,[93.1983 ... 6.5542],,,,0.734783190491899
gs,iris,arbol_decision,,,,1.0,30.0,0.7524599100064387,1.3166666666666667,0.4966355562210083,1.0,[0.7525 ... 0.7525],300.0,0.2,40.0,0.7346210921420491
gs,iris,arbol_decision,,,,1.0,30.0,0.7450136864424948,1.3833333333333333,0.5027704238891602,1.0,[0.7450 ... 0.7450],500.0,0.2,20.0,0.7343392218087584
gs,iris,arbol_decision,,,,1.0,30.0,0.7731606414149959,1.4,0.4155493974685669,1.0,[0.7732 ... 0.7732],500.0,0.8,40.0,0.7339938949845362
gs,iris,arbol_decision,,,,1.0,30.0,0.7731606414149959,1.4,0.4176536798477173,1.0,[0.7732 ... 0.7732],500.0,0.8,20.0,0.7338195242549002
gs,iris,arbol_decision,,,,1.0,30.0,0.7738282289523806,1.4166666666666665,0.4116194248199463,1.0,[0.7738 ... 0.7738],300.0,0.5,40.0,0.7337331539625277
gs,iris,arbol_decision,,,,1.0,30.0,0.7647990759084731,1.3166666666666667,0.4768620729446411,1.0,[0.7648 ... 0.7648],500.0,0.5,40.0,0.7331224526411035
gs,iris,arbol_decision,,,,1.0,30.0,0.7450136864424948,1.3833333333333333,0.523510217666626,1.0,[0.7450 ... 0.7450],500.0,0.2,40.0,0.7326206250038297
gs,iris,arbol_decision,,,,1.0,30.0,0.7524599100064387,1.3166666666666667,0.523328423500061,1.0,[0.7525 ... 0.7525],300.0,0.2,20.0,0.7324091956828852
gs,iris,arbol_decision,,,,1.0,30.0,0.7738282289523806,1.4166666666666665,0.4280351400375366,1.0,[0.7738 ... 0.7738],300.0,0.5,20.0,0.7323728706334705
gs,iris,arbol_decision,,,,1.0,30.0,0.7450136864424948,1.3833333333333333,0.5271927118301392,1.0,[0.7450 ... 0.7450],500.0,0.2,60.0,0.7323154762269669
gs,iris,arbol_decision,,,,1.0,30.0,0.7826656309346947,1.4666666666666668,0.3881434202194214,1.0,[0.7827 ... 0.7827],300.0,0.8,40.0,0.7321816264920716
gs,iris,arbol_decision,,,,1.0,30.0,0.7731606414149959,1.4,0.4544389247894287,1.0,[0.7732 ... 0.7732],500.0,0.8,60.0,0.7307713259408921
gs,iris,arbol_decision,,,,1.0,30.0,0.7826656309346947,1.4666666666666668,0.41966938972473145,1.0,[0.7827 ... 0.7827],300.0,0.8,20.0,0.7295692364632482
ga,diabetes,mlp,200.0,120.0,0.15,1.0,30.0,36.60203873045606,8.0,2.0981045961380005,39.5,[159.6815 ... 6.2177],,,,0.7286099604781557
gs,iris,arbol_decision,,,,1.0,30.0,0.7826656309346947,1.4666666666666668,0.4356902837753296,1.0,[0.7827 ... 0.7827],300.0,0.8,60.0,0.7282416698720425
gs,iris,arbol_decision,,,,1.0,30.0,0.7841898400079248,1.3666666666666667,0.48653650283813477,1.0,[0.7842 ... 0.7842],100.0,0.2,60.0,0.7261407915926449
gs,iris,arbol_decision,,,,1.0,30.0,0.7841898400079248,1.3666666666666667,0.48731255531311035,1.0,[0.7842 ... 0.7842],100.0,0.2,20.0,0.7260764842365419
gs,iris,arbol_decision,,,,1.0,30.0,0.7841898400079248,1.3666666666666667,0.5081452131271362,1.0,[0.7842 ... 0.7842],100.0,0.2,40.0,0.7243501922810135
gs,iris,mlp,,,,1.0,30.0,0.6754408649305575,2.9,0.38635754585266113,1.0,[0.6754 ... 0.6754],300.0,0.5,20.0,0.723757570570996
gs,iris,mlp,,,,1.0,30.0,0.6754408649305575,2.9,0.39755773544311523,1.0,[0.6754 ... 0.6754],300.0,0.5,40.0,0.7228294702122708
gs,iris,mlp,,,,1.0,30.0,0.6784396604283547,2.85,0.4067270755767822,1.0,[0.6784 ... 0.6784],100.0,0.2,60.0,0.7225572287590836
ga,diabetes,mlp,200.0,40.0,0.15,1.0,30.0,43.52296325241626,8.0,0.6457451581954956,13.0,[159.6815 ... 13.6176],,,,0.7225184794033469
gs,iris,mlp,,,,1.0,30.0,0.6784396604283547,2.85,0.41181719303131104,1.0,[0.6784 ... 0.6784],100.0,0.2,40.0,0.722135437699446
